ID	GeneID	MES_83	MES_326	MES_1123	PN_19	PN_157	PN_528
64936	ENSG00000073792.15	0.855	0.886	0.847	0.669	0.742	0.653
47070	ENSG00000234171.2	0.886	0.876	0.894	0.593	0.737	0.765
56612	ENSG00000182389.19	0.162	0.267	0.179	0.028	0	0
72058	ENSG00000010322.15	0.74	0.643	0.77	0.101	0.123	0.571
47497	ENSG00000128989.10	0.75	0.73	0.793	0.891	0.871	0.872
6933	ENSG00000177150.12	0.951	0.933	0.965	0.722	0.737	0.964
67088	ENSG00000188906.14	1	1	1	0.74	0.832	0.795
23851	ENSG00000147202.17	0.782	0.761	0.856	0.142	0.216	0.5
44396	ENSG00000119979.16	0.369	0.467	0.488	0.044	0.193	0.174
72751	ENSG00000256771.3	1	1	0.754	0.599	0.47	0.553
24784	ENSG00000109323.8	0.397	0.446	0.284	0	0.02	0.423
6700	ENSG00000243753.5	0	0.403	0.575	1	1	1
16191	ENSG00000171988.18	0.898	0.858	0.742	0.967	0.979	1
34907	ENSG00000142733.14	0.573	0.446	0	1	1	1
57112	ENSG00000141252.19	0.728	0.783	0.755	0.972	0.93	1
56999	ENSG00000110921.13	0.963	0.901	0.889	0.661	0.758	0.674
43018	ENSG00000167397.14	0.67	0.788	0.843	0.903	0.889	0.91
52872	ENSG00000205133.11	0.392	0.344	0.549	0.096	0.125	0.205
53111	ENSG00000137760.14	0.59	0.693	0.676	1	0.771	1
7049	ENSG00000092531.9	1	1	1	0.863	0.75	1
81532	ENSG00000104427.11	0.03	0.04	0.09	0.208	0.156	0.35
51797	ENSG00000170322.14	0.638	0.726	0.853	0.137	0.268	0.32
17357	ENSG00000136754.16	0.872	0.906	0.836	1	1	1
13234	ENSG00000104164.10	1	1	1	0.887	0.743	0.91
39415	ENSG00000047621.11	1	1	1	0.791	0.871	0.912
70289	ENSG00000250299.5	1	1	1	0.477	0.555	1
42322	ENSG00000176454.13	0.935	0.982	0.931	0.806	0.86	0.691
15830	ENSG00000112739.16	0.785	0.66	0.686	0.822	0.877	0.922
38503	ENSG00000164114.18	0.782	0.873	0.898	1	1	1
77822	ENSG00000036054.12	0.795	0.816	0.778	0.911	0.904	0.969
3579	ENSG00000113552.15	0.014	0.078	0.046	0.161	0.152	0.206
30820	ENSG00000166169.16	1	1	0.916	0.644	0.492	1
71389	ENSG00000204406.12	0.408	0.314	0.478	0	0	0.103
28958	ENSG00000122033.14	0.509	0.453	0.813	0.756	1	1
29693	ENSG00000066933.15	0.692	0.85	0.884	1	1	1
30380	ENSG00000086300.15	0.174	0.297	0.291	0.076	0.041	0
